Business Domain,Domain Segment,Data Segment,Business Activity,Value Domain,Data Domain,Task,Transaction ID,Customer ID,Department,Region,Transaction Amount (USD),Risk Level,Alert Status,Transaction Date,Reviewed By,Customer Country,Remarks
Financial Crime Prevention,Fraud and Risk Control,Anti Money Laundering Monitoring,Screen Customer Transactions,Risk Prevention,Transaction Data,Flag Suspicious Transactions,43d96dbe-5ed1-467c-8260-eaf9deee4752,420906,Compliance,EMEA,70832.51,Critical,Confirmed Suspicious,2025-07-20,Sean Jones,Saint Barthelemy,Their if cultural step yourself.
Compliance Oversight,AML Operations,Anti Money Laundering Monitoring,Screen Customer Transactions,Security,Transaction Data,Screen Customer Transactions,791096d8-b690-464b-8fb8-1470ee76800a,443367,Risk,Americas,26577.47,Critical,Cleared,2025-01-03,Paula Fleming,Norfolk Island,Affect above recognize development offer.
Risk Management,Risk and Compliance Operations,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Review Alerts,38342ef6-b925-4a23-8083-0617ea591144,444858,Fraud Detection,APAC,43476.62,Critical,Cleared,2025-03-15,Victoria Coleman,Belarus,Fine receive have radio how require before.
Financial Crime Prevention,AML Operations,Transaction Surveillance,Monitor High-Risk Accounts,Security,Compliance Data,Flag Suspicious Transactions,828aa233-0b63-489d-8244-f77bfb61237b,687067,Fraud Detection,EMEA,53925.13,Medium,Cleared,2025-02-25,Leonard Potter,Afghanistan,Amount success TV.
Compliance Oversight,AML Operations,Transaction Surveillance,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,869f2c7a-2507-483d-a59d-bdd189d6159e,456898,Fraud Detection,Americas,79416.93,High,Confirmed Suspicious,2025-01-22,Amy Stewart,Lesotho,Senior investment least bed bill effort.
Compliance Oversight,AML Operations,Customer Risk Review,Monitor High-Risk Accounts,Compliance,Compliance Data,Flag Suspicious Transactions,b7b3cd28-b623-4be9-94f4-22edf4e9d447,985070,Operations,EMEA,79954.01,Low,Cleared,2025-02-13,Craig Williams,Bosnia and Herzegovina,Politics American benefit try.
Financial Crime Prevention,AML Operations,Customer Risk Review,Screen Customer Transactions,Security,Transaction Data,Screen Customer Transactions,6b07f6b4-2753-4842-86b1-9be6767cf600,832398,Risk,APAC,36186.53,High,Pending Review,2025-07-27,Thomas Reed,Jordan,Four deal little yes data man tree attention.
Financial Crime Prevention,Risk and Compliance Operations,Transaction Surveillance,Screen Customer Transactions,Compliance,Transaction Data,Review Alerts,5b8e52b6-7392-4dc6-8935-b005f5a17305,207574,Compliance,EMEA,28084.08,Low,Escalated,2025-09-30,Catherine Carter,Chad,Use whatever knowledge foot.
Compliance Oversight,Fraud and Risk Control,Customer Risk Review,Identify Suspicious Activities,Compliance,Compliance Data,Flag Suspicious Transactions,efbc5d9f-a2cf-458b-afd8-fcd1079f2746,641958,Risk,Americas,35792.62,Critical,Escalated,2025-01-30,Jill Scott,Tunisia,Worker position resource he figure.
Compliance Oversight,AML Operations,Customer Risk Review,Identify Suspicious Activities,Security,AML Data,Flag Suspicious Transactions,85410533-a8ae-4310-98a1-dc776cb85911,586072,Risk,APAC,2342.29,High,Cleared,2025-01-02,Michael Sandoval,Isle of Man,Lose site end hit small nor forward.
Compliance Oversight,Fraud and Risk Control,Anti Money Laundering Monitoring,Screen Customer Transactions,Risk Prevention,Transaction Data,Review Alerts,a3c7b612-f05d-400e-8f6c-380b76ce352f,188355,Operations,APAC,73821.83,Critical,Escalated,2025-01-14,Kerri Thomas,Slovakia (Slovak Republic),Always home happy.
Financial Crime Prevention,Fraud and Risk Control,Customer Risk Review,Identify Suspicious Activities,Compliance,Transaction Data,Screen Customer Transactions,2a6763b1-9b73-4ca7-9c62-e2c9e2114e90,847126,Operations,Americas,83585.25,Low,Confirmed Suspicious,2025-05-08,Marcus Sullivan,Sao Tome and Principe,Check court order admit country week.
Financial Crime Prevention,AML Operations,Customer Risk Review,Monitor High-Risk Accounts,Security,AML Data,Screen Customer Transactions,10dae255-d6ba-4fac-a708-fb506ce2ae0b,201644,Operations,EMEA,62931.0,High,Pending Review,2025-07-01,Kelly Rivera,Ireland,Responsibility toward enough vote special production.
Compliance Oversight,Risk and Compliance Operations,Anti Money Laundering Monitoring,Screen Customer Transactions,Risk Prevention,Compliance Data,Screen Customer Transactions,563083af-4c42-4659-b4d1-c2540b387942,824107,Compliance,APAC,21074.05,High,Pending Review,2025-05-18,Alexis Ramirez,Samoa,Manage inside phone item sport fast remember.
Risk Management,AML Operations,Transaction Surveillance,Monitor High-Risk Accounts,Security,Transaction Data,Review Alerts,6b48b940-3bb1-4bbf-9782-bec1701dfc28,825832,Operations,APAC,73593.23,Low,Cleared,2025-09-15,Kenneth Owen,Japan,Health road top religious significant difficult.
Risk Management,AML Operations,Transaction Surveillance,Identify Suspicious Activities,Compliance,Compliance Data,Flag Suspicious Transactions,a4d89e77-1de7-40e6-9ffd-0492eb62743b,904889,Operations,Americas,87871.44,Low,Cleared,2025-02-03,Bradley Shaw,Mexico,Take model foot few early go do.
Financial Crime Prevention,AML Operations,Anti Money Laundering Monitoring,Monitor High-Risk Accounts,Compliance,Compliance Data,Flag Suspicious Transactions,f58f8d80-0612-45a1-8d47-de46c7de5908,185987,Operations,Americas,72607.1,Low,Confirmed Suspicious,2025-03-18,John Fitzgerald,Micronesia,Own law friend put computer.
Risk Management,Fraud and Risk Control,Anti Money Laundering Monitoring,Monitor High-Risk Accounts,Security,AML Data,Review Alerts,aa741668-16cb-459c-9186-7e6b755e7253,475903,Compliance,Americas,26239.89,Critical,Pending Review,2025-04-24,Dylan Miller,France,Indicate year ready doctor.
Risk Management,Risk and Compliance Operations,Anti Money Laundering Monitoring,Identify Suspicious Activities,Security,AML Data,Screen Customer Transactions,a075ab2f-2738-4d8f-8c29-109dac246f4a,717959,Compliance,APAC,70849.25,Medium,Cleared,2025-07-26,Michael Garcia,Greece,My only political teach happy father.
Compliance Oversight,Risk and Compliance Operations,Transaction Surveillance,Monitor High-Risk Accounts,Compliance,AML Data,Review Alerts,dd48ef46-976c-4a11-bdd5-315313fa4774,100346,Fraud Detection,APAC,80006.29,High,Confirmed Suspicious,2025-10-08,Tiffany Holt,Bulgaria,Level act politics.
Compliance Oversight,AML Operations,Transaction Surveillance,Screen Customer Transactions,Risk Prevention,Transaction Data,Flag Suspicious Transactions,376ca215-35c4-433b-9d7e-0a71f3277216,371674,Fraud Detection,EMEA,29730.7,Critical,Escalated,2025-09-03,Jacqueline Werner,Namibia,Shake consumer purpose weight.
Risk Management,Risk and Compliance Operations,Customer Risk Review,Identify Suspicious Activities,Compliance,AML Data,Review Alerts,faa9b7ba-601a-4a25-be3e-1de1e238ffbc,735971,Fraud Detection,EMEA,67634.03,Medium,Confirmed Suspicious,2025-09-19,Ronald Bean,Bosnia and Herzegovina,Change find us increase.
Risk Management,AML Operations,Transaction Surveillance,Monitor High-Risk Accounts,Security,Transaction Data,Screen Customer Transactions,48bedef4-3d71-499c-800f-a40763a07dff,172069,Compliance,APAC,68457.97,Low,Confirmed Suspicious,2025-10-07,Stephanie Doyle,Morocco,Offer project parent fact take.
Risk Management,Fraud and Risk Control,Customer Risk Review,Identify Suspicious Activities,Security,Compliance Data,Review Alerts,86391ede-03c7-42cd-b0c5-2babffc12382,115493,Fraud Detection,EMEA,13205.63,High,Escalated,2025-03-06,Carol Poole,Saudi Arabia,Quickly federal early itself.
Financial Crime Prevention,Risk and Compliance Operations,Customer Risk Review,Identify Suspicious Activities,Security,Compliance Data,Flag Suspicious Transactions,92f78629-d97b-4b31-999b-ccc3281b0934,621261,Compliance,EMEA,76921.84,Medium,Escalated,2025-10-12,Kelly Rivera,Ukraine,Near begin perhaps enjoy.
Financial Crime Prevention,AML Operations,Customer Risk Review,Monitor High-Risk Accounts,Compliance,Compliance Data,Flag Suspicious Transactions,03d3cc46-27d6-4b2a-be93-ffb27593754f,677749,Fraud Detection,APAC,19909.4,High,Cleared,2025-01-28,Bethany Eaton,Finland,Guess child bad.
Compliance Oversight,Risk and Compliance Operations,Customer Risk Review,Identify Suspicious Activities,Security,AML Data,Screen Customer Transactions,43b69163-9a6a-461b-8d10-cbafda42ca90,636941,Operations,APAC,67096.67,Critical,Escalated,2025-09-09,Jessica Wolf,Turkmenistan,Mean then smile if shake carry grow maintain.
Risk Management,AML Operations,Anti Money Laundering Monitoring,Identify Suspicious Activities,Compliance,AML Data,Review Alerts,81465344-7056-40ad-9b88-31e63b863dbd,498552,Compliance,Americas,33093.71,High,Cleared,2025-03-02,Sara Williams,Maldives,Whole radio through side heart.
Risk Management,Risk and Compliance Operations,Anti Money Laundering Monitoring,Monitor High-Risk Accounts,Risk Prevention,Transaction Data,Review Alerts,31457957-d9b1-46fb-ad9a-773386f7f2dd,329019,Operations,APAC,22202.84,Critical,Cleared,2025-08-26,Donald Anderson,Macedonia,Detail themselves this develop.
Risk Management,AML Operations,Anti Money Laundering Monitoring,Monitor High-Risk Accounts,Security,AML Data,Screen Customer Transactions,fb913ca0-3afa-46dd-80b4-6fc4ddffd3a6,605129,Compliance,EMEA,2707.72,Medium,Cleared,2025-09-28,James Stanley,Wallis and Futuna,Responsibility the red know money buy court.
Compliance Oversight,Fraud and Risk Control,Customer Risk Review,Monitor High-Risk Accounts,Compliance,AML Data,Review Alerts,2805342e-e02e-4e1c-b9ea-7ca961ace09a,357479,Operations,Americas,61545.44,Low,Escalated,2025-03-23,Cindy Jones,Saint Pierre and Miquelon,Dog their size office day in.
Compliance Oversight,Risk and Compliance Operations,Anti Money Laundering Monitoring,Identify Suspicious Activities,Compliance,Transaction Data,Flag Suspicious Transactions,53523827-6660-454d-bdfe-78e2cdadc1a2,125962,Risk,APAC,84110.7,High,Confirmed Suspicious,2025-02-14,Kevin Hart,Sweden,Create training woman ago stop oil.
Compliance Oversight,Risk and Compliance Operations,Customer Risk Review,Identify Suspicious Activities,Risk Prevention,AML Data,Screen Customer Transactions,44f430a3-2906-4425-9be7-22700d0dca2d,977009,Operations,Americas,84896.54,Low,Confirmed Suspicious,2025-03-11,Brooke Brooks,Togo,Send here force race on get.
Risk Management,Fraud and Risk Control,Anti Money Laundering Monitoring,Monitor High-Risk Accounts,Security,Transaction Data,Flag Suspicious Transactions,cf079876-e98c-416b-b20d-a8b9ac37273c,963953,Operations,Americas,7216.02,Low,Confirmed Suspicious,2025-03-25,Carla Murphy,Slovenia,Describe behavior inside field.
Compliance Oversight,Risk and Compliance Operations,Customer Risk Review,Monitor High-Risk Accounts,Risk Prevention,Transaction Data,Screen Customer Transactions,4e3a0aca-ec43-4fad-8b48-595d7d7fee5f,181943,Operations,APAC,69752.42,Low,Escalated,2025-01-24,Michael Bell,French Southern Territories,Quite travel message reason anyone thing these.
Financial Crime Prevention,AML Operations,Anti Money Laundering Monitoring,Monitor High-Risk Accounts,Security,Compliance Data,Flag Suspicious Transactions,91667039-a894-41e9-b7d0-603c1e43a02f,263129,Risk,APAC,13731.66,High,Cleared,2025-01-08,Anthony Collins,Panama,Bad choice on watch discuss play.
Risk Management,Fraud and Risk Control,Transaction Surveillance,Identify Suspicious Activities,Security,Transaction Data,Review Alerts,41813fa5-eee2-4555-9209-7c652e44e657,817914,Fraud Detection,APAC,2560.67,Medium,Pending Review,2025-04-30,Rachel Fischer,Syrian Arab Republic,Cause four job throw individual.
Compliance Oversight,AML Operations,Anti Money Laundering Monitoring,Identify Suspicious Activities,Security,Transaction Data,Flag Suspicious Transactions,65488925-9b46-4ca9-bef0-5094d3f0f551,968082,Compliance,APAC,80040.09,Low,Pending Review,2025-08-30,Cole Turner,Greenland,Say only forward democratic red.
Risk Management,Risk and Compliance Operations,Transaction Surveillance,Monitor High-Risk Accounts,Risk Prevention,AML Data,Screen Customer Transactions,0610c24c-ecb4-4417-92b9-8bd0fe575278,143534,Operations,Americas,3356.25,Low,Confirmed Suspicious,2025-04-18,David Ho,Somalia,Act your remain increase travel security knowledge allow.
Financial Crime Prevention,Fraud and Risk Control,Customer Risk Review,Monitor High-Risk Accounts,Risk Prevention,Transaction Data,Review Alerts,adf17979-a42d-41e8-84b1-eb1c96dc5381,460440,Operations,APAC,20106.97,High,Escalated,2025-02-24,Justin Singh,Algeria,Foreign that he message edge.
Financial Crime Prevention,AML Operations,Customer Risk Review,Identify Suspicious Activities,Security,Transaction Data,Flag Suspicious Transactions,32d483ff-e7da-41fc-add1-9fa3486aaf7e,234361,Fraud Detection,Americas,14752.32,Low,Pending Review,2025-03-05,Jon Bradshaw,Sri Lanka,Those process while total build investment day reduce.
Risk Management,Fraud and Risk Control,Customer Risk Review,Identify Suspicious Activities,Security,Transaction Data,Flag Suspicious Transactions,e057aedd-648b-4b98-899e-d3cda95fbd8f,358583,Operations,EMEA,44690.67,High,Escalated,2025-08-09,Donald Howell,Kenya,Friend position per rather without economic.
Financial Crime Prevention,Risk and Compliance Operations,Transaction Surveillance,Identify Suspicious Activities,Security,Compliance Data,Flag Suspicious Transactions,a42b32e5-b9db-4456-970b-9918d5adc385,849758,Operations,APAC,22823.26,Medium,Escalated,2025-04-13,Richard Wade,Algeria,Myself fire each main interesting.
Compliance Oversight,AML Operations,Customer Risk Review,Screen Customer Transactions,Compliance,Transaction Data,Screen Customer Transactions,9e317956-9d34-4ff8-9b01-51084cf6f156,264969,Compliance,Americas,22696.83,Low,Cleared,2025-04-13,Katie Soto,Cook Islands,Special brother indicate manager site always focus.
Risk Management,AML Operations,Customer Risk Review,Monitor High-Risk Accounts,Security,Transaction Data,Screen Customer Transactions,040939b1-65a6-4e25-bea4-6dd37dd85e2b,474448,Operations,APAC,28359.58,Medium,Escalated,2025-06-23,Kevin Garcia,Turkey,Law early clear practice part.
Financial Crime Prevention,AML Operations,Transaction Surveillance,Monitor High-Risk Accounts,Compliance,Compliance Data,Screen Customer Transactions,b8f9dc32-cb17-4e66-b6b1-6731d630c91c,170364,Operations,EMEA,35449.69,Medium,Escalated,2025-04-08,John Miller,Christmas Island,World of lawyer.
Risk Management,Fraud and Risk Control,Transaction Surveillance,Monitor High-Risk Accounts,Security,Transaction Data,Review Alerts,f054c972-c69e-43c3-9dc3-d97fd67ff6ab,461577,Fraud Detection,Americas,29849.34,High,Pending Review,2025-06-29,Brian Bryant,Poland,Significant doctor mother other reduce consumer.
Financial Crime Prevention,Fraud and Risk Control,Anti Money Laundering Monitoring,Screen Customer Transactions,Risk Prevention,Transaction Data,Flag Suspicious Transactions,785562e5-275b-4e99-8313-80c2a977b684,238312,Operations,EMEA,86289.82,Low,Cleared,2025-08-19,Kevin Moore,Germany,Serious of performance test never brother water.
Risk Management,Risk and Compliance Operations,Customer Risk Review,Screen Customer Transactions,Risk Prevention,AML Data,Review Alerts,85d2a5c2-5190-4058-9174-3a7f387cec5b,338309,Compliance,Americas,36098.85,Low,Cleared,2025-05-21,Jose Richards,American Samoa,Player issue best forward.
Financial Crime Prevention,AML Operations,Customer Risk Review,Monitor High-Risk Accounts,Risk Prevention,AML Data,Review Alerts,cc6fe973-9245-44bc-9c39-1aafaab08616,614372,Risk,Americas,83590.51,Critical,Cleared,2025-08-30,Lindsay Harris,Saint Martin,Laugh almost who south safe program.
Financial Crime Prevention,AML Operations,Anti Money Laundering Monitoring,Identify Suspicious Activities,Risk Prevention,Compliance Data,Review Alerts,1b0cbf6f-72e2-4bef-8195-adf1d0cb201c,703896,Compliance,Americas,62738.9,High,Cleared,2025-10-13,Gabriel York,Cayman Islands,If outside four stand crime forward.
Financial Crime Prevention,AML Operations,Transaction Surveillance,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,e3620361-705b-421c-87a1-7c0b29973336,368852,Operations,Americas,2707.2,Low,Confirmed Suspicious,2025-03-02,Jacob Hopkins,Guinea-Bissau,Her option American measure owner scene product.
Risk Management,Fraud and Risk Control,Customer Risk Review,Identify Suspicious Activities,Compliance,Transaction Data,Review Alerts,68ea0ea2-d5b6-4800-8914-a12ba5743feb,382884,Fraud Detection,APAC,16138.55,Low,Escalated,2025-03-28,Joseph Williams,Israel,Whole full son customer behavior certain physical wall.
Compliance Oversight,Fraud and Risk Control,Customer Risk Review,Screen Customer Transactions,Security,AML Data,Flag Suspicious Transactions,f403c0b7-9801-4121-893d-d4f7534f8848,771641,Fraud Detection,Americas,6789.58,High,Escalated,2025-04-27,Cody Rocha,Jordan,Term everything race board religious modern will.
Risk Management,Fraud and Risk Control,Customer Risk Review,Screen Customer Transactions,Compliance,AML Data,Screen Customer Transactions,2dea56f8-b8db-4606-a809-fbbd79577c8d,604998,Operations,Americas,88420.9,High,Pending Review,2025-03-04,Anna Sanchez,Russian Federation,Sister trip blood message like.
Financial Crime Prevention,Risk and Compliance Operations,Customer Risk Review,Screen Customer Transactions,Risk Prevention,Compliance Data,Review Alerts,f7474e07-712a-43bf-9bd8-1e691eb17b73,953336,Risk,EMEA,8930.83,Critical,Escalated,2025-07-01,Miss Cindy Underwood,New Zealand,Catch save peace any write simple.
Risk Management,Risk and Compliance Operations,Customer Risk Review,Monitor High-Risk Accounts,Risk Prevention,Compliance Data,Review Alerts,c089ae55-c9c4-412c-a370-dbeb26953c05,780324,Fraud Detection,Americas,7655.52,High,Cleared,2025-07-09,Lisa Thompson,Austria,Skill performance station follow.
Compliance Oversight,Fraud and Risk Control,Transaction Surveillance,Monitor High-Risk Accounts,Compliance,Compliance Data,Flag Suspicious Transactions,0b6a7c31-3432-46f6-9266-47990ac6618f,746778,Fraud Detection,APAC,57319.7,Critical,Pending Review,2025-02-23,Christina Williams,Denmark,Industry environmental huge.
Financial Crime Prevention,AML Operations,Customer Risk Review,Identify Suspicious Activities,Compliance,Compliance Data,Review Alerts,d45ab09d-b81e-405f-9aea-2031a3411475,762375,Compliance,Americas,6343.65,High,Cleared,2025-09-04,Jennifer Mitchell,Kyrgyz Republic,Possible especially think write include politics product.
Financial Crime Prevention,Fraud and Risk Control,Anti Money Laundering Monitoring,Monitor High-Risk Accounts,Compliance,AML Data,Flag Suspicious Transactions,80f36b3a-db74-4c3c-9c4c-2dcdc2815c51,685672,Risk,Americas,50836.29,Critical,Pending Review,2025-04-23,Bruce Wilson,Chad,Ready society father cup.
Risk Management,Risk and Compliance Operations,Anti Money Laundering Monitoring,Monitor High-Risk Accounts,Security,AML Data,Flag Suspicious Transactions,a7092e27-a941-42bd-aa8d-32f93077514f,901991,Fraud Detection,EMEA,42535.79,High,Pending Review,2025-05-16,Miranda Smith,Cambodia,Individual group who ready card huge.
Financial Crime Prevention,AML Operations,Transaction Surveillance,Screen Customer Transactions,Risk Prevention,Transaction Data,Screen Customer Transactions,0a0b685b-4ef7-47fd-83aa-b761ec4d32d3,429697,Compliance,EMEA,37871.32,Low,Confirmed Suspicious,2025-03-31,James Poole,Turks and Caicos Islands,Guy recognize paper themselves give.
Financial Crime Prevention,AML Operations,Transaction Surveillance,Monitor High-Risk Accounts,Risk Prevention,Compliance Data,Flag Suspicious Transactions,3cfbd2c5-5842-4aee-b275-650877ad1a71,504466,Fraud Detection,Americas,95285.48,Medium,Confirmed Suspicious,2025-03-26,Molly Martinez,Vanuatu,Full including put plan brother.
Financial Crime Prevention,AML Operations,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Review Alerts,578c9484-f0fb-4c5f-84a9-059138022070,173555,Fraud Detection,EMEA,73976.53,Medium,Cleared,2025-08-18,Linda White,British Virgin Islands,Also trial sign understand before old.
Risk Management,Fraud and Risk Control,Customer Risk Review,Identify Suspicious Activities,Security,Compliance Data,Review Alerts,47ef4e9a-ed65-4648-8cbe-b2dec74305f6,207523,Fraud Detection,Americas,76576.3,High,Confirmed Suspicious,2025-09-10,Debra Valdez,Guernsey,Major can keep southern.
Financial Crime Prevention,Risk and Compliance Operations,Customer Risk Review,Monitor High-Risk Accounts,Compliance,Transaction Data,Review Alerts,460d38bf-edc4-4c83-8a15-b107caf528da,326863,Compliance,APAC,38381.08,High,Pending Review,2025-03-23,Nicolas Lee,Bangladesh,Kitchen day message less rest.
Financial Crime Prevention,Risk and Compliance Operations,Transaction Surveillance,Identify Suspicious Activities,Compliance,Transaction Data,Review Alerts,463e3cd4-950c-4e7d-ac03-f8d2f4a83b78,173597,Compliance,EMEA,11394.34,Medium,Cleared,2025-08-31,Aaron Peterson,Sri Lanka,Challenge piece suggest nice.
Compliance Oversight,AML Operations,Transaction Surveillance,Screen Customer Transactions,Risk Prevention,AML Data,Review Alerts,9f6e11f9-eea1-4b15-9f58-aaf9f3baf69d,465154,Risk,Americas,98575.52,Low,Pending Review,2025-10-04,Alexis Martinez,Bhutan,Final religious off end most local herself.
Financial Crime Prevention,AML Operations,Anti Money Laundering Monitoring,Screen Customer Transactions,Security,Transaction Data,Flag Suspicious Transactions,dc744c0d-e62a-43e6-9d49-5e88199eebfb,547569,Operations,Americas,80790.59,Low,Pending Review,2025-05-15,Luis Chang,Bosnia and Herzegovina,Majority chance style not four.
Financial Crime Prevention,Risk and Compliance Operations,Anti Money Laundering Monitoring,Monitor High-Risk Accounts,Compliance,Compliance Data,Screen Customer Transactions,b5f680f5-432b-49c7-a7da-da5e5ecdf35b,909496,Operations,EMEA,17269.08,High,Pending Review,2025-08-04,Connie Mills,Sao Tome and Principe,Can business wait for goal news PM.
Risk Management,Fraud and Risk Control,Customer Risk Review,Identify Suspicious Activities,Risk Prevention,Compliance Data,Screen Customer Transactions,216f6f1a-4258-4d86-9caa-08e393849688,418519,Fraud Detection,APAC,97858.5,Critical,Escalated,2025-08-12,Dawn Medina,Spain,Because instead open carry prepare help here.
Compliance Oversight,Risk and Compliance Operations,Customer Risk Review,Identify Suspicious Activities,Security,AML Data,Screen Customer Transactions,3842f759-2be7-454d-95c0-97aa230d5de2,672093,Operations,EMEA,90357.95,Low,Pending Review,2025-04-28,Jose Washington,Martinique,Sure sing skin final guy ask eat station.
Compliance Oversight,Risk and Compliance Operations,Transaction Surveillance,Screen Customer Transactions,Risk Prevention,Compliance Data,Screen Customer Transactions,56973571-7d16-4949-968f-027cda5497f5,423510,Compliance,Americas,30175.55,Critical,Confirmed Suspicious,2025-09-03,Katherine Bell,Suriname,Fact have fine at represent fly.
Risk Management,Risk and Compliance Operations,Anti Money Laundering Monitoring,Screen Customer Transactions,Risk Prevention,AML Data,Flag Suspicious Transactions,a9c5599e-01bf-44b6-87dc-d6a81e465cb6,960525,Risk,EMEA,4997.31,High,Cleared,2025-09-10,Christine Weaver,Saint Barthelemy,Worry himself value amount reduce thus wrong newspaper.
Financial Crime Prevention,AML Operations,Anti Money Laundering Monitoring,Screen Customer Transactions,Risk Prevention,Compliance Data,Flag Suspicious Transactions,8e88ce92-7ec9-458c-b60c-31bb314200ce,146056,Risk,Americas,91254.65,Critical,Pending Review,2025-10-13,Ronald Shaw,Andorra,Finally campaign part middle.
Risk Management,Risk and Compliance Operations,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Transaction Data,Screen Customer Transactions,c05518e3-ece3-4f97-81fa-ac3388551700,143315,Fraud Detection,APAC,19217.52,Medium,Pending Review,2025-09-15,Sharon Miller,Falkland Islands (Malvinas),Avoid total lose team member model.
Risk Management,Fraud and Risk Control,Anti Money Laundering Monitoring,Monitor High-Risk Accounts,Security,Compliance Data,Review Alerts,990cc404-1d7b-4659-abb4-132821bbf5fa,687454,Compliance,Americas,94815.06,Low,Confirmed Suspicious,2025-09-29,Tammy Freeman,South Georgia and the South Sandwich Islands,Now activity name sure.
Financial Crime Prevention,AML Operations,Transaction Surveillance,Identify Suspicious Activities,Compliance,Compliance Data,Review Alerts,a686f8c5-b900-49bc-ae72-0a326eaf4ab5,544441,Fraud Detection,EMEA,24743.85,Low,Pending Review,2025-03-08,Barry Thompson,Cape Verde,Above situation deep reason soon natural.
Compliance Oversight,Fraud and Risk Control,Customer Risk Review,Identify Suspicious Activities,Risk Prevention,Transaction Data,Screen Customer Transactions,339fc653-5452-4b5b-a011-50720b7ecab7,539189,Compliance,Americas,79067.01,Critical,Cleared,2025-04-24,Jocelyn Long,Lesotho,Issue minute never hand.
Financial Crime Prevention,Fraud and Risk Control,Transaction Surveillance,Screen Customer Transactions,Risk Prevention,Compliance Data,Flag Suspicious Transactions,3870b883-ac14-4b99-80b0-bb10a0f85c8c,192744,Risk,Americas,65967.76,Medium,Cleared,2025-01-03,John Wiley,American Samoa,Action stop personal cover.
Risk Management,Risk and Compliance Operations,Customer Risk Review,Identify Suspicious Activities,Security,AML Data,Review Alerts,732f7dc4-f2c0-4e18-84c9-5b9692b71c2d,672543,Fraud Detection,EMEA,62790.26,Critical,Pending Review,2025-09-04,Cynthia Kerr,Turkmenistan,Analysis nice serious art rule training claim.
Financial Crime Prevention,Fraud and Risk Control,Customer Risk Review,Screen Customer Transactions,Compliance,Compliance Data,Review Alerts,7f3d1179-ffb7-4364-bc54-d5fdc6538118,907426,Compliance,APAC,54717.91,High,Pending Review,2025-05-11,Andrew Bennett,Malawi,Amount yourself five suffer college story.
Risk Management,Fraud and Risk Control,Transaction Surveillance,Monitor High-Risk Accounts,Security,Compliance Data,Screen Customer Transactions,0d6d6433-2c16-43ca-8dc1-940f37fb8ed4,554608,Fraud Detection,EMEA,67601.01,Medium,Pending Review,2025-02-18,Joshua Wells,Oman,Color local Mr role.
Financial Crime Prevention,Risk and Compliance Operations,Customer Risk Review,Screen Customer Transactions,Security,Transaction Data,Review Alerts,1d08403a-a657-495b-9f55-5403948da284,272926,Fraud Detection,Americas,70128.16,Low,Confirmed Suspicious,2025-01-11,Patrick Dickerson,Iceland,Change face TV ready civil.
Financial Crime Prevention,Risk and Compliance Operations,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Review Alerts,6156e3d0-d8b2-4ce9-be3c-b4f8b3e88fb9,193758,Fraud Detection,EMEA,89087.92,High,Escalated,2025-07-26,Loretta Kelly,Anguilla,South scene level over from main cost.
Financial Crime Prevention,Fraud and Risk Control,Customer Risk Review,Screen Customer Transactions,Security,Transaction Data,Flag Suspicious Transactions,9c1e8ef3-8e29-4358-82a7-e3d81a8d83c1,156861,Fraud Detection,Americas,5906.51,Low,Confirmed Suspicious,2025-04-03,Robin Murray,Pakistan,Why economy force.
Compliance Oversight,Fraud and Risk Control,Anti Money Laundering Monitoring,Monitor High-Risk Accounts,Risk Prevention,AML Data,Flag Suspicious Transactions,cd9df7b7-e906-44c3-9253-49329db6cddf,995386,Compliance,EMEA,91161.81,Critical,Pending Review,2025-10-16,Jennifer Davis,Cocos (Keeling) Islands,Production parent nation.
Compliance Oversight,AML Operations,Customer Risk Review,Monitor High-Risk Accounts,Risk Prevention,AML Data,Review Alerts,c3fbd675-e621-4bec-9fce-ffb364480980,822134,Risk,APAC,54524.54,Medium,Pending Review,2025-07-11,Marcus Collins,Denmark,Report student night.
Financial Crime Prevention,Fraud and Risk Control,Customer Risk Review,Monitor High-Risk Accounts,Risk Prevention,Transaction Data,Flag Suspicious Transactions,dfbea520-9b34-4969-83ff-dc3949671d0d,452129,Fraud Detection,Americas,66564.96,Medium,Cleared,2025-06-30,Jennifer Simon,Guinea,Identify use necessary story woman fly democratic newspaper.
Financial Crime Prevention,Risk and Compliance Operations,Transaction Surveillance,Identify Suspicious Activities,Risk Prevention,Transaction Data,Flag Suspicious Transactions,813787ed-2959-48f2-ad25-493fc72dc75d,383939,Risk,Americas,16068.46,Medium,Pending Review,2025-01-09,Tonya Conrad,Moldova,Turn behavior into.
Financial Crime Prevention,Fraud and Risk Control,Transaction Surveillance,Identify Suspicious Activities,Risk Prevention,AML Data,Screen Customer Transactions,29316eae-1d2c-4e5f-8427-4a5fe7158ae9,558720,Risk,EMEA,86065.75,Medium,Pending Review,2025-06-06,John Mcbride,Guinea-Bissau,Citizen however be defense.
