Domain,Business_Activity,Sub_Domain,Activity_Description,Value_Type,Data_Domain,Data_Value,Loan_ID,Borrower_Name,Loan_Type,Outstanding_Amount,Risk_Level,Default_Probability,Status
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00262,Borrower_262,Business Loan,295040.62,Very High,0.08,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00263,Borrower_263,Auto Loan,4125479.13,Medium,0.23,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00264,Borrower_264,Business Loan,3577031.2,Medium,0.24,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00265,Borrower_265,Business Loan,3202125.87,Medium,0.43,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00266,Borrower_266,Home Loan,795484.81,Medium,0.02,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00267,Borrower_267,Personal Loan,1082187.73,Very High,0.31,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00268,Borrower_268,Education Loan,4052320.83,Medium,0.12,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00269,Borrower_269,Business Loan,4193322.68,Very High,0.12,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00270,Borrower_270,Personal Loan,1806456.18,Low,0.09,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00271,Borrower_271,Auto Loan,986931.72,Very High,0.26,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00272,Borrower_272,Home Loan,3155813.52,Very High,0.05,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00273,Borrower_273,Personal Loan,3984945.86,High,0.27,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00274,Borrower_274,Home Loan,4337234.07,High,0.08,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00275,Borrower_275,Home Loan,663013.45,Low,0.2,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00276,Borrower_276,Business Loan,125486.03,High,0.07,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00277,Borrower_277,Business Loan,2252329.1,Medium,0.48,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00278,Borrower_278,Auto Loan,2643850.61,Low,0.09,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00279,Borrower_279,Auto Loan,2956657.37,Very High,0.08,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00280,Borrower_280,Education Loan,3840784.87,Low,0.11,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00281,Borrower_281,Business Loan,2794551.97,Medium,0.2,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00282,Borrower_282,Auto Loan,3584635.96,Medium,0.14,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00283,Borrower_283,Home Loan,4514752.44,Very High,0.29,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00284,Borrower_284,Education Loan,795109.3,Very High,0.18,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00285,Borrower_285,Personal Loan,4215390.74,Low,0.22,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00286,Borrower_286,Education Loan,4345653.11,Low,0.02,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00287,Borrower_287,Auto Loan,4778141.63,Low,0.27,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00288,Borrower_288,Auto Loan,1275381.77,High,0.28,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00289,Borrower_289,Business Loan,1847388.84,Medium,0.2,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00290,Borrower_290,Business Loan,579347.53,Very High,0.4,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00291,Borrower_291,Auto Loan,1300609.71,Low,0.43,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00292,Borrower_292,Home Loan,3088203.95,Medium,0.06,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00293,Borrower_293,Home Loan,2882866.14,Low,0.32,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00294,Borrower_294,Personal Loan,3455497.79,Very High,0.01,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00295,Borrower_295,Personal Loan,3859500.47,High,0.15,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00296,Borrower_296,Education Loan,4518793.17,High,0.35,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00297,Borrower_297,Home Loan,2584280.95,Low,0.26,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00298,Borrower_298,Auto Loan,2244775.4,High,0.28,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00299,Borrower_299,Home Loan,383932.91,High,0.2,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00300,Borrower_300,Auto Loan,2869511.1,Very High,0.42,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00301,Borrower_301,Business Loan,1915671.01,High,0.19,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00302,Borrower_302,Personal Loan,4310656.2,Low,0.4,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00303,Borrower_303,Auto Loan,4832611.89,Very High,0.03,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00304,Borrower_304,Business Loan,3709423.18,Medium,0.47,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00305,Borrower_305,Business Loan,2673118.17,High,0.34,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00306,Borrower_306,Education Loan,1721742.73,Low,0.12,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00307,Borrower_307,Education Loan,2228504.46,High,0.16,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00308,Borrower_308,Education Loan,1955623.0,High,0.44,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00309,Borrower_309,Education Loan,4776089.57,Medium,0.28,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00310,Borrower_310,Personal Loan,1656698.76,Very High,0.45,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00311,Borrower_311,Education Loan,185862.1,Very High,0.41,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00312,Borrower_312,Personal Loan,829279.03,Medium,0.32,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00313,Borrower_313,Education Loan,3005980.77,Very High,0.04,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00314,Borrower_314,Personal Loan,1679497.31,Medium,0.44,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00315,Borrower_315,Business Loan,4801013.11,High,0.43,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00316,Borrower_316,Education Loan,1176238.73,Low,0.03,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00317,Borrower_317,Business Loan,4147498.81,Very High,0.38,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00318,Borrower_318,Business Loan,3575417.57,Low,0.2,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00319,Borrower_319,Business Loan,2052542.07,Medium,0.29,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00320,Borrower_320,Education Loan,2864390.77,Low,0.16,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00321,Borrower_321,Business Loan,1283971.0,High,0.09,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00322,Borrower_322,Education Loan,3754607.47,Very High,0.19,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00323,Borrower_323,Business Loan,351765.46,Low,0.23,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00324,Borrower_324,Business Loan,2857668.79,High,0.49,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00325,Borrower_325,Auto Loan,3461482.41,Low,0.4,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00326,Borrower_326,Home Loan,3448357.15,High,0.31,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00327,Borrower_327,Business Loan,3405085.94,Low,0.02,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00328,Borrower_328,Home Loan,480513.33,Very High,0.46,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00329,Borrower_329,Education Loan,1357418.72,High,0.13,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00330,Borrower_330,Auto Loan,1086122.13,High,0.17,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00331,Borrower_331,Education Loan,293464.64,Low,0.43,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00332,Borrower_332,Business Loan,2231024.57,Low,0.45,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00333,Borrower_333,Home Loan,83521.92,Medium,0.11,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00334,Borrower_334,Education Loan,3074219.36,Very High,0.37,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00335,Borrower_335,Home Loan,3050188.25,High,0.3,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00336,Borrower_336,Personal Loan,1180364.26,Low,0.06,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00337,Borrower_337,Business Loan,3293555.87,High,0.27,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00338,Borrower_338,Education Loan,2446918.08,Low,0.02,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00339,Borrower_339,Business Loan,3984832.07,Low,0.22,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00340,Borrower_340,Home Loan,370044.03,Low,0.31,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00341,Borrower_341,Auto Loan,4688384.81,Very High,0.42,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00342,Borrower_342,Business Loan,1922658.99,High,0.46,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00343,Borrower_343,Home Loan,167905.78,Very High,0.24,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00344,Borrower_344,Personal Loan,4160669.89,Low,0.26,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00345,Borrower_345,Home Loan,2906689.6,High,0.28,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00346,Borrower_346,Personal Loan,3228378.98,High,0.16,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00347,Borrower_347,Auto Loan,1566488.46,High,0.17,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00348,Borrower_348,Business Loan,4548429.75,High,0.13,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00349,Borrower_349,Personal Loan,4181937.05,Very High,0.38,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00350,Borrower_350,Business Loan,2020070.85,Very High,0.27,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00351,Borrower_351,Auto Loan,4590983.01,Very High,0.49,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00352,Borrower_352,Education Loan,1376807.9,Medium,0.3,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00353,Borrower_353,Auto Loan,658372.73,Low,0.07,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00354,Borrower_354,Personal Loan,4243559.02,Very High,0.06,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00355,Borrower_355,Auto Loan,3127707.37,Medium,0.26,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00356,Borrower_356,Business Loan,2348502.85,Very High,0.04,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00357,Borrower_357,Business Loan,3194110.37,Very High,0.17,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00358,Borrower_358,Auto Loan,1216810.7,Low,0.32,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00359,Borrower_359,Business Loan,3148309.94,High,0.2,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00360,Borrower_360,Personal Loan,4071482.61,Low,0.45,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00361,Borrower_361,Personal Loan,2902962.27,Medium,0.11,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00362,Borrower_362,Personal Loan,615748.87,High,0.47,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00363,Borrower_363,Home Loan,3167244.89,Very High,0.15,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00364,Borrower_364,Home Loan,221844.24,High,0.03,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00365,Borrower_365,Personal Loan,4308173.28,Very High,0.34,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00366,Borrower_366,Education Loan,3995084.41,Very High,0.18,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00367,Borrower_367,Personal Loan,3444607.93,High,0.23,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00368,Borrower_368,Home Loan,2940996.17,High,0.04,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00369,Borrower_369,Auto Loan,479814.54,Very High,0.24,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00370,Borrower_370,Education Loan,1667847.95,Very High,0.21,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00371,Borrower_371,Business Loan,2861690.57,Low,0.47,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00372,Borrower_372,Home Loan,4691923.04,Very High,0.23,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00373,Borrower_373,Business Loan,4495471.26,High,0.36,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00374,Borrower_374,Business Loan,3708823.92,High,0.47,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00375,Borrower_375,Business Loan,1659559.87,Very High,0.46,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00376,Borrower_376,Home Loan,3067425.7,High,0.21,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00377,Borrower_377,Personal Loan,1237548.8,Low,0.38,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00378,Borrower_378,Auto Loan,962706.44,Very High,0.14,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00379,Borrower_379,Business Loan,2852686.22,Low,0.31,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00380,Borrower_380,Personal Loan,3630927.87,Very High,0.07,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00381,Borrower_381,Personal Loan,1254275.86,High,0.44,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00382,Borrower_382,Education Loan,3555233.12,High,0.28,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00383,Borrower_383,Home Loan,1869296.24,Low,0.24,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00384,Borrower_384,Home Loan,3287351.15,Low,0.33,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00385,Borrower_385,Education Loan,2378942.52,Low,0.01,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00386,Borrower_386,Home Loan,1898592.19,Very High,0.08,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00387,Borrower_387,Home Loan,330914.74,Low,0.3,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00388,Borrower_388,Personal Loan,2833868.54,Very High,0.22,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00389,Borrower_389,Personal Loan,2189082.85,High,0.45,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00390,Borrower_390,Auto Loan,449826.45,High,0.35,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00391,Borrower_391,Education Loan,4905403.37,Very High,0.38,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00392,Borrower_392,Business Loan,4027366.06,High,0.37,Delinquent
